,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-10-15,5.35,4.0,1,1,7.64,2.29,2.29,3.06
2019-01-10-16,5.28,4.0,1,1,7.26,1.91,2.29,2.67
2019-01-10-17,5.28,4.0,1,0,6.49,1.91,2.29,1.91
2019-01-10-18,5.22,4.0,1,0,5.73,1.91,2.29,2.67
2019-01-10-19,5.61,4.0,1,1,6.11,1.91,2.29,3.06
2019-01-10-20,5.72,4.0,1,1,5.73,1.91,1.91,3.06
2019-01-10-21,5.5,4.0,0,0,5.73,1.91,1.91,2.67
2019-01-10-22,5.44,4.0,1,1,5.35,2.29,1.91,2.67
2019-01-10-23,5.33,4.0,0,1,5.73,2.29,1.91,2.29
2019-01-11-00,5.17,4.0,1,0,6.49,2.29,1.91,2.29
2019-01-11-01,5.33,4.0,1,1,13.75,1.91,1.91,2.29
2019-01-11-02,5.17,4.0,1,1,7.64,2.29,1.91,2.67
2019-01-11-03,5.17,4.0,1,0,6.11,2.29,1.53,3.06
2019-01-11-04,5.17,4.0,1,0,5.35,2.29,1.53,3.06
2019-01-11-05,5.39,5.0,1,1,4.58,2.29,1.53,2.67
2019-01-11-06,5.44,5.0,1,0,4.2,2.29,1.53,2.29
2019-01-11-07,5.56,5.0,1,0,3.82,2.29,1.53,2.67
2019-01-11-08,5.44,6.0,1,0,3.82,2.29,1.53,3.44
2019-01-11-09,5.56,5.5,1,0,4.58,1.91,1.53,3.82
2019-01-11-10,5.56,4.5,1,1,5.35,2.29,1.91,3.44
2019-01-11-11,5.56,7.0,1,0,5.73,2.29,1.91,4.2
2019-01-11-12,5.83,5.5,1,0,6.11,1.91,1.91,3.82
2019-01-11-13,5.53,6.5,1,1,6.11,2.29,1.53,3.44
2019-01-11-14,5.53,6.0,1,0,5.73,2.29,1.53,3.44
2019-01-11-15,5.78,4.0,2,0,5.35,2.29,1.53,3.44
2019-01-11-16,5.88,5.0,3,1,4.97,2.29,1.53,2.67
2019-01-11-17,5.71,5.5,3,1,4.97,2.29,1.91,2.29
2019-01-11-18,5.89,4.5,2,0,4.58,2.29,1.91,2.29
2019-01-11-19,5.83,4.0,2,0,4.97,2.29,2.29,2.29
2019-01-11-20,6.06,3.0,1,1,5.35,2.29,2.29,2.29
2019-01-11-21,6.0,3.0,1,0,6.11,2.29,1.91,2.29
2019-01-11-22,5.61,3.0,1,0,8.4,2.29,1.91,2.29
2019-01-11-23,5.78,3.0,1,0,7.26,2.29,1.91,2.29
2019-01-12-00,5.67,3.0,1,1,6.11,2.29,1.91,1.53
2019-01-12-01,5.61,3.0,1,0,6.11,2.29,1.91,1.53
2019-01-12-02,5.33,3.0,1,0,6.11,2.29,1.91,1.53
2019-01-12-03,5.33,2.5,1,1,5.73,2.67,1.91,1.53
2019-01-12-04,5.67,3.0,1,0,5.73,3.82,1.91,1.15
2019-01-12-05,5.5,3.0,1,0,5.35,3.82,1.91,1.15
2019-01-12-06,5.5,3.5,1,1,4.97,3.44,1.53,1.53
2019-01-12-07,5.67,3.0,1,1,4.2,3.44,1.91,1.53
2019-01-12-08,5.67,2.5,1,1,3.82,3.44,1.53,1.91
2019-01-12-09,5.83,3.0,1,0,3.82,3.82,1.91,2.29
2019-01-12-10,6.39,3.0,1,1,4.2,4.2,1.91,3.44
2019-01-12-11,6.28,3.0,1,1,5.35,3.82,1.91,3.82
2019-01-12-12,6.17,3.5,1,0,6.11,3.06,1.91,2.67
2019-01-12-13,6.22,4.0,1,0,6.88,3.06,1.91,2.29
2019-01-12-14,5.83,4.0,1,0,7.26,3.06,1.53,2.29
2019-01-12-15,5.67,5.0,1,1,7.26,3.06,1.53,2.29
2019-01-12-16,5.67,5.5,1,1,7.64,3.06,1.53,2.29
2019-01-12-17,6.0,6.5,1,0,6.88,3.06,1.53,1.91
2019-01-12-18,5.44,6.5,1,1,6.11,2.67,1.53,1.53
2019-01-12-19,5.28,5.5,1,1,5.35,2.67,1.53,1.53
2019-01-12-20,5.39,5.5,1,0,4.2,2.67,1.53,1.91
2019-01-12-21,5.44,4.0,1,1,3.44,2.67,1.53,1.91
2019-01-12-22,5.28,3.5,1,0,3.06,2.67,1.53,1.91
2019-01-12-23,5.22,4.0,1,0,2.67,2.29,1.53,1.91
2019-01-13-00,5.5,3.5,1,1,2.67,2.29,1.53,2.29
2019-01-13-01,5.06,3.0,1,1,9.93,2.29,1.53,2.29
2019-01-13-02,5.0,3.0,1,1,3.82,2.29,1.53,2.67
2019-01-13-03,4.78,3.0,1,2,2.67,2.29,1.53,3.06
2019-01-13-04,4.5,3.0,1,1,2.67,2.29,1.53,2.67
2019-01-13-05,4.67,3.0,1,1,2.67,2.29,1.53,3.06
2019-01-13-06,4.61,3.0,1,0,2.29,2.29,1.53,2.29
2019-01-13-07,4.72,3.0,1,1,2.29,2.29,1.53,2.67
2019-01-13-08,4.78,3.5,1,0,2.29,2.29,1.53,3.06
2019-01-13-09,5.39,3.0,1,0,2.29,2.67,1.53,3.82
2019-01-13-10,5.72,3.0,1,1,2.29,2.67,1.91,4.58
2019-01-13-11,6.0,3.5,1,1,1.91,3.44,1.53,4.97
2019-01-13-12,6.94,3.0,2,1,1.91,3.82,1.53,3.82
2019-01-13-13,6.78,3.0,1,1,1.53,4.2,1.53,2.67
2019-01-13-14,6.72,3.5,1,1,1.53,4.2,1.53,2.67
2019-01-13-15,6.94,3.0,3,1,1.15,4.2,1.91,3.82
2019-01-13-16,7.0,3.5,4,0,1.15,4.2,1.91,3.44
2019-01-13-17,6.61,3.5,2,0,1.53,4.97,1.91,2.67
2019-01-13-18,6.17,3.5,1,0,1.53,4.58,1.53,2.67
2019-01-13-19,5.89,3.5,1,1,1.91,3.82,1.53,2.67
2019-01-13-20,5.83,4.0,2,1,1.91,3.06,1.53,3.44
2019-01-13-21,5.5,4.0,2,1,2.29,2.67,1.53,2.67
2019-01-13-22,5.0,3.5,2,1,2.29,2.67,1.53,2.67
2019-01-13-23,5.06,3.5,1,1,2.29,2.67,1.53,2.67
2019-01-14-00,4.78,3.0,1,2,2.29,2.67,1.53,2.29
2019-01-14-01,4.83,3.0,1,1,2.29,2.67,1.53,3.06
2019-01-14-02,4.56,3.0,1,1,2.67,2.29,1.53,2.67
2019-01-14-03,4.67,3.0,1,1,3.06,2.29,1.53,3.06
2019-01-14-04,4.39,3.0,1,0,3.06,2.67,1.91,3.06
2019-01-14-05,4.44,3.0,1,0,3.06,2.67,1.91,4.2
2019-01-14-06,4.78,3.5,1,1,3.06,3.06,1.91,4.58
2019-01-14-07,5.06,3.5,1,1,3.06,3.06,1.91,4.2
2019-01-14-08,5.17,3.0,1,1,3.06,3.06,1.91,3.06
2019-01-14-09,5.22,3.5,1,0,3.06,3.06,1.91,2.67
2019-01-14-10,5.78,3.5,1,0,4.2,3.06,1.91,2.67
2019-01-14-11,6.39,3.5,1,1,4.58,3.06,1.91,1.91
2019-01-14-12,7.06,3.5,1,1,4.58,3.06,1.91,1.91
2019-01-14-13,7.24,3.5,1,1,4.58,2.67,1.91,1.53
2019-01-14-14,7.61,4.0,2,1,4.58,2.67,2.29,1.53
2019-01-14-15,7.67,5.0,2,1,4.97,2.67,2.29,1.53
2019-01-14-16,7.22,6.0,3,1,4.97,2.29,2.29,2.29
2019-01-14-17,7.28,6.5,3,0,4.2,2.67,1.91,2.29
2019-01-14-18,7.0,5.5,3,0,2.67,3.06,1.91,2.67
2019-01-14-19,6.78,4.5,2,0,1.53,3.44,1.91,2.29
2019-01-14-20,6.72,4.5,1,0,1.15,3.44,1.91,2.29
2019-01-14-21,6.67,4.5,1,1,0.76,3.44,1.91,2.67
2019-01-14-22,7.0,4.0,1,1,0.76,3.06,1.91,3.44
