,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-06-14,31.11,7.5,8,2,36.64,24.96,16.99,16.46
2019-01-06-15,28.44,7.0,8,3,39.29,28.67,15.4,18.58
2019-01-06-16,27.39,9.0,8,3,39.29,32.39,16.99,20.18
2019-01-06-17,33.33,10.5,11,5,41.95,36.11,18.05,22.83
2019-01-06-18,40.28,16.0,13,4,43.54,35.58,20.18,25.49
2019-01-06-19,42.94,16.5,13,4,45.14,32.92,21.24,24.43
2019-01-06-20,46.28,23.5,11,4,44.6,33.98,20.18,19.65
2019-01-06-21,51.89,22.0,9,5,45.67,29.74,19.65,21.77
2019-01-06-22,56.72,21.0,8,4,44.6,24.43,19.12,21.77
2019-01-06-23,57.94,17.5,12,3,43.54,21.24,16.99,22.3
2019-01-07-00,57.11,11.5,11,2,42.48,20.71,13.28,16.99
2019-01-07-01,56.56,9.0,12,1,40.89,21.24,12.21,12.21
2019-01-07-02,54.67,9.0,14,2,39.83,22.3,11.68,10.09
2019-01-07-03,53.89,8.0,12,1,40.36,26.02,12.21,11.15
2019-01-07-04,53.0,9.5,13,1,39.29,31.86,11.68,12.21
2019-01-07-05,51.89,14.0,18,1,36.64,29.74,11.15,12.21
2019-01-07-06,55.06,23.0,16,2,35.58,23.36,9.03,12.74
2019-01-07-07,58.28,33.5,19,3,32.92,26.02,10.09,14.34
2019-01-07-08,63.28,41.0,22,4,33.45,32.92,14.34,18.58
2019-01-07-09,64.94,31.0,27,5,28.14,29.74,15.93,20.71
2019-01-07-10,62.28,11.0,24,4,19.65,27.08,18.58,18.05
2019-01-07-11,48.33,9.5,22,4,12.74,25.49,16.46,14.34
2019-01-07-12,29.89,8.0,28,4,10.09,23.36,15.4,13.28
2019-01-07-13,30.72,7.5,26,3,7.97,25.49,14.34,12.21
2019-01-07-14,31.11,8.5,25,4,8.5,30.27,14.87,13.28
2019-01-07-15,32.29,10.0,28,4,9.56,35.05,18.58,21.77
2019-01-07-16,34.28,13.0,29,4,10.62,36.64,19.65,24.43
2019-01-07-17,41.33,17.5,28,5,13.81,31.86,20.18,20.18
2019-01-07-18,52.33,19.5,30,6,19.12,28.67,22.83,21.24
2019-01-07-19,56.5,18.5,28,5,21.77,27.61,28.14,19.12
2019-01-07-20,57.11,17.5,27,4,23.36,21.24,29.74,20.71
2019-01-07-21,53.5,15.0,24,4,20.71,20.18,27.08,22.83
2019-01-07-22,51.89,11.0,20,3,18.05,21.24,27.61,24.43
2019-01-07-23,48.83,9.5,15,2,18.58,21.24,28.67,22.83
2019-01-08-00,46.17,7.0,16,2,15.4,20.71,26.55,22.3
2019-01-08-01,31.39,6.5,14,2,11.68,18.58,24.96,24.96
2019-01-08-02,20.11,7.0,12,1,10.09,16.46,23.36,27.61
2019-01-08-03,19.89,6.0,11,1,7.43,15.4,23.36,30.8
2019-01-08-04,22.72,6.0,13,2,7.43,15.93,21.24,31.33
