經度,緯度,八小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
120.676056,21.857529,0.00215911865234375,45.13,45.13
120.706116,21.857368,0.001659393310546875,43.97,43.97
120.736145,21.857231,0.000514984130859375,54.27,54.27
120.766205,21.857079,0.000408172607421875,54.1,54.1
120.796234,21.85691,0.00032806396484375,53.96,53.96
120.826294,21.856735,0.000293731689453125,53.91,53.91
120.85632,21.856583,0.000274658203125,53.86,53.86
120.88638,21.856384,0.000293731689453125,53.76,53.76
120.91644,21.856194,0.000347137451171875,53.57,53.57
120.94647,21.856003,0.0003662109375,53.41,53.41
120.97653,21.855804,0.000377655029296875,53.19,53.19
121.00656,21.85559,0.00034332275390625,52.97,52.97
121.03662,21.855392,0.000316619873046875,52.76,52.76
121.06665,21.855171,0.000301361083984375,52.6,52.6
121.09671,21.854942,0.000308990478515625,52.5,52.5
121.12674,21.85469,0.00029754638671875,52.43,52.43
121.1568,21.854477,0.00023651123046875,47.34,47.35
121.18683,21.854233,0.000213623046875,47.41,47.41
121.21689,21.853966,0.000209808349609375,47.54,47.54
121.24695,21.853722,0.00017547607421875,52.05,52.05
121.27698,21.853455,0.0001220703125,51.87,51.87
121.30701,21.853188,0.000110626220703125,39.95,39.95
121.33707,21.852905,9.918212890625e-05,39.77,39.77
121.36713,21.852638,9.1552734375e-05,51.83,51.83
121.397156,21.852356,8.7738037109375e-05,51.08,51.08
121.427185,21.852043,7.62939453125e-05,50.37,50.37
121.457245,21.851753,6.866455078125e-05,50.24,50.24
121.487274,21.851433,6.103515625e-05,50.66,50.66
121.517334,21.851135,4.9591064453125e-05,43.09,43.09
121.54736,21.850815,4.9591064453125e-05,43.11,43.11
121.57742,21.850471,3.814697265625e-05,48.08,48.08
121.60745,21.850159,3.0517578125e-05,43.23,43.23
121.63751,21.849815,3.0517578125e-05,43.37,43.37
121.66754,21.84948,2.6702880859375e-05,50.09,50.09
121.69757,21.849129,2.288818359375e-05,48.31,48.31
121.72763,21.848763,1.52587890625e-05,52.74,52.74
121.75769,21.848404,1.52587890625e-05,40.07,40.07
121.78772,21.848038,1.1444091796875e-05,40.3,40.3
121.81775,21.847672,7.62939453125e-06,40.38,40.38
121.84781,21.847282,1.1444091796875e-05,56.89,56.89
121.87784,21.8469,7.62939453125e-06,46.55,46.55
121.9079,21.846497,7.62939453125e-06,41.15,41.15
121.93793,21.8461,7.62939453125e-06,44.86,44.86
121.96796,21.845695,7.62939453125e-06,36.75,36.75
121.997986,21.845291,7.62939453125e-06,54.18,54.18
122.028046,21.844856,7.62939453125e-06,43.54,43.54
119.29373,21.885262,0.005397796630859375,56.65,56.66
119.32379,21.885406,0.0055084228515625,57.16,57.17
119.35382,21.885551,0.005641937255859375,57.83,57.83
119.38388,21.885689,0.0057220458984375,58.33,58.33
119.41394,21.885796,0.00574493408203125,58.82,58.82
119.444,21.885933,0.00572967529296875,57.51,57.52
119.47406,21.88604,0.005695343017578125,58.07,58.08
119.50409,21.886154,0.005657196044921875,58.61,58.62
119.53415,21.886238,0.005615234375,59.14,59.15
119.56421,21.88633,0.00562286376953125,59.68,59.69
119.59427,21.886436,0.006015777587890625,50.02,50.02
119.62433,21.886513,0.00609588623046875,52.95,52.96
119.65436,21.886574,0.007259368896484375,53.11,53.12
119.68442,21.88665,0.008411407470703125,53.33,53.34
119.71448,21.886703,0.009380340576171875,53.55,53.56
119.74454,21.886772,0.01030731201171875,53.6,53.61
119.7746,21.886826,0.010730743408203125,53.59,53.6
119.80463,21.886856,0.0116729736328125,71.41,71.42
119.83469,21.886902,0.0128021240234375,72.02,72.04
119.864746,21.88691,0.0136871337890625,72.33,72.34
119.894806,21.886948,0.013885498046875,72.89,72.91
119.924866,21.88697,0.01367950439453125,72.71,72.73
119.954895,21.886993,0.01300811767578125,72.11,72.13
119.984985,21.886993,0.013225555419921875,47.99,48.0
120.015015,21.886993,0.01416015625,66.2,66.21
120.045074,21.886993,0.01336669921875,65.55,65.57
120.075134,21.88697,0.012603759765625,59.02,59.03
120.105194,21.886948,0.01361846923828125,59.12,59.14
120.135254,21.88691,0.0144500732421875,58.92,58.93
120.16528,21.886902,0.0148773193359375,59.13,59.14
120.19534,21.886856,0.01438140869140625,70.29,70.3
120.2254,21.886826,0.01520538330078125,71.61,71.62
120.25546,21.886772,0.01601409912109375,72.38,72.4
120.28552,21.886703,0.01685333251953125,72.58,72.6
120.31555,21.88665,0.0174102783203125,72.19,72.21
120.34561,21.886574,0.012969970703125,63.04,63.05
120.37567,21.886513,0.0105743408203125,68.82,68.84
120.40573,21.886436,0.01059722900390625,60.47,60.49
120.43579,21.88633,0.01207733154296875,63.39,63.4
120.46582,21.886238,0.01020050048828125,60.96,60.97
120.49588,21.886154,0.00849151611328125,58.47,58.48
120.52594,21.88604,0.00698089599609375,55.27,55.28
120.556,21.885933,0.006511688232421875,52.29,52.3
120.58606,21.885796,0.006256103515625,56.69,56.7
120.61609,21.885689,0.00429534912109375,52.86,52.86
120.64615,21.885551,0.0039520263671875,62.01,62.02
120.67621,21.885406,0.002796173095703125,45.43,45.43
120.70627,21.885262,0.001758575439453125,60.91,60.91
120.73633,21.885109,0.00057220458984375,40.26,40.26
120.76636,21.884964,0.000408172607421875,38.56,38.56
120.79642,21.884811,0.00035858154296875,38.43,38.43
120.82648,21.88462,0.0002899169921875,42.46,42.47
120.85654,21.884468,0.00026702880859375,53.7,53.7
120.8866,21.88427,0.00025177001953125,53.86,53.87
120.916626,21.884087,0.000263214111328125,53.69,53.69
120.946686,21.883888,0.00028228759765625,53.52,53.52
120.976746,21.883705,0.00030517578125,53.3,53.3
121.006775,21.883476,0.000308990478515625,53.09,53.09
121.036835,21.883278,0.0002899169921875,52.91,52.91
121.066895,21.883057,0.000286102294921875,52.72,52.72
121.096954,21.88282,0.000293731689453125,52.63,52.63
121.127014,21.882599,0.00026702880859375,52.53,52.53
121.15704,21.882355,0.0002593994140625,52.45,52.45
121.1871,21.882126,0.000244140625,52.39,52.39
121.21716,21.881866,0.000186920166015625,52.28,52.28
121.24719,21.881615,0.000148773193359375,52.13,52.13
121.27725,21.88134,0.000118255615234375,52.02,52.02
121.30731,21.881088,0.000110626220703125,40.08,40.08
121.33737,21.880783,0.000102996826171875,39.93,39.93
121.36743,21.880531,9.1552734375e-05,39.73,39.73
121.39746,21.880241,8.7738037109375e-05,51.75,51.75
121.42752,21.879944,7.2479248046875e-05,51.58,51.58
121.45758,21.879639,7.2479248046875e-05,50.3,50.3
121.48761,21.879318,5.7220458984375e-05,49.66,49.66
121.51767,21.879013,5.340576171875e-05,50.56,50.56
121.54773,21.8787,4.9591064453125e-05,50.38,50.38
121.57776,21.87838,3.814697265625e-05,43.11,43.11
121.60782,21.878044,3.0517578125e-05,43.1,43.1
121.63788,21.877708,3.0517578125e-05,43.21,43.21
121.66791,21.877365,2.6702880859375e-05,50.22,50.22
121.69797,21.877007,1.52587890625e-05,48.44,48.44
121.72803,21.876656,1.9073486328125e-05,43.08,43.08
121.75806,21.87629,1.9073486328125e-05,42.93,42.93
121.78812,21.875916,7.62939453125e-06,39.76,39.76
121.81818,21.875542,7.62939453125e-06,40.22,40.22
121.848206,21.87516,7.62939453125e-06,39.67,39.67
121.878265,21.874779,7.62939453125e-06,40.08,40.08
121.908325,21.874382,7.62939453125e-06,41.81,41.81
121.938354,21.873993,7.62939453125e-06,32.24,32.24
121.968414,21.87358,7.62939453125e-06,43.52,43.52
121.99844,21.873154,1.1444091796875e-05,53.78,53.78
