經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.35397,21.857674,3.1381845e-05,0.28,0.28
119.38403,21.857796,3.3646822e-05,0.29,0.29
119.41406,21.857918,3.552437e-05,0.3,0.3
119.44412,21.858025,3.695488e-05,0.32,0.32
119.47418,21.858147,4.0113926e-05,0.34,0.34
119.50421,21.858261,4.4554472e-05,0.36,0.36
119.53427,21.858345,4.902482e-05,0.39,0.39
119.5643,21.858452,5.3852797e-05,0.41,0.41
119.59436,21.858528,5.6535006e-05,0.44,0.44
119.62439,21.858612,6.118417e-05,0.46,0.46
119.65445,21.858696,6.827712e-05,0.48,0.48
119.68451,21.858765,7.557869e-05,0.5,0.5
119.71454,21.858826,8.2433224e-05,0.52,0.52
119.7446,21.85888,9.137392e-05,0.54,0.54
119.77466,21.858925,9.8884106e-05,0.55,0.55
119.80469,21.858963,0.00010448694,0.57,0.57
119.83472,21.859001,0.00011599064,0.59,0.59
119.86478,21.859032,0.0001219511,0.61,0.61
119.89484,21.859062,0.00012457371,0.63,0.63
119.924866,21.859077,0.00012612343,0.65,0.65
119.954926,21.8591,0.00012528896,0.67,0.67
119.984985,21.8591,0.00011527538,0.69,0.69
120.015015,21.8591,0.00012397766,0.71,0.71
120.045074,21.8591,0.00012540817,0.72,0.72
120.0751,21.859077,0.000121712685,0.73,0.73
120.10516,21.859062,0.00012308359,0.74,0.74
120.13519,21.859032,0.00010937452,0.74,0.74
120.16525,21.859001,0.000105023384,0.75,0.75
120.19531,21.858963,0.0001103282,0.75,0.75
120.22534,21.858925,9.614229e-05,0.73,0.73
120.2554,21.85888,8.8095665e-05,0.7,0.7
120.28546,21.858826,7.581711e-05,0.66,0.66
120.31549,21.858765,6.496906e-05,0.61,0.61
120.34555,21.858696,5.811453e-05,0.54,0.54
120.37558,21.858612,5.13196e-05,0.47,0.47
120.40564,21.858528,4.711747e-05,0.4,0.4
120.43567,21.858452,4.5329332e-05,0.34,0.34
120.46573,21.858345,2.9295683e-05,0.3,0.3
120.49579,21.858261,2.783537e-05,0.26,0.26
120.52582,21.858147,1.9922853e-05,0.22,0.22
120.55588,21.858025,1.5571713e-05,0.19,0.19
120.58591,21.857918,1.1384487e-05,0.17,0.17
120.61597,21.857796,7.688999e-06,0.15,0.15
120.645996,21.857674,5.1110983e-06,0.14,0.14
120.676056,21.857529,3.4868717e-06,0.13,0.13
120.706116,21.857368,2.399087e-06,0.13,0.13
120.736145,21.857231,2.1606684e-06,0.13,0.13
120.766205,21.857079,2.220273e-06,0.12,0.12
120.796234,21.85691,2.257526e-06,0.12,0.12
120.826294,21.856735,2.2351742e-06,0.12,0.12
120.85632,21.856583,2.1830201e-06,0.12,0.12
120.88638,21.856384,2.1979213e-06,0.12,0.12
120.91644,21.856194,2.1234155e-06,0.12,0.12
120.94647,21.856003,1.899898e-06,0.11,0.11
120.97653,21.855804,1.3038516e-06,0.11,0.11
121.00656,21.85559,9.3877316e-07,0.11,0.11
121.03662,21.855392,8.1956387e-07,0.11,0.11
121.06665,21.855171,7.972121e-07,0.11,0.11
121.09671,21.854942,6.482005e-07,0.11,0.11
121.12674,21.85469,3.799796e-07,0.1,0.1
121.1568,21.854477,2.6077032e-07,0.1,0.1
121.18683,21.854233,2.30968e-07,0.1,0.1
121.21689,21.853966,2.7567148e-07,0.1,0.1
121.24695,21.853722,2.682209e-07,0.1,0.1
121.27698,21.853455,3.2782555e-07,0.1,0.1
121.30701,21.853188,1.937151e-07,0.1,0.1
121.33707,21.852905,1.4156103e-07,0.09,0.09
121.36713,21.852638,1.8626451e-07,0.09,0.09
121.397156,21.852356,1.7136335e-07,0.09,0.09
121.427185,21.852043,1.5646219e-07,0.09,0.09
121.457245,21.851753,9.685755e-08,0.09,0.09
121.487274,21.851433,8.940697e-08,0.09,0.09
121.517334,21.851135,8.940697e-08,0.09,0.09
121.54736,21.850815,2.2351742e-08,0.09,0.09
121.57742,21.850471,1.4901161e-08,0.09,0.09
121.60745,21.850159,5.2154064e-08,0.09,0.09
121.63751,21.849815,8.940697e-08,0.09,0.09
121.66754,21.84948,1.3411045e-07,0.09,0.09
121.69757,21.849129,-7.450581e-09,0.09,0.09
121.72763,21.848763,-3.7252903e-08,0.09,0.09
121.75769,21.848404,7.450581e-09,0.09,0.09
121.78772,21.848038,5.2154064e-08,0.09,0.09
121.81775,21.847672,2.9802322e-08,0.09,0.09
121.84781,21.847282,-2.2351742e-08,0.09,0.09
121.87784,21.8469,0.0,0.09,0.09
121.9079,21.846497,0.0,0.1,0.1
121.93793,21.8461,1.4901161e-08,0.1,0.1
121.96796,21.845695,1.4901161e-08,0.1,0.1
121.997986,21.845291,7.450581e-09,0.11,0.11
122.028046,21.844856,0.0,0.12,0.12
119.29373,21.885262,2.6613474e-05,0.26,0.26
119.32379,21.885406,2.8729439e-05,0.26,0.26
119.35382,21.885551,3.129244e-05,0.28,0.28
119.38388,21.885689,3.4332275e-05,0.29,0.29
