經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
121.87741,21.819,3.606081008911133e-06,0.37,0.37
121.90747,21.818604,3.4868717193603516e-06,0.36,0.36
121.9375,21.81823,3.840774297714233e-06,0.03,0.03
121.96753,21.81781,3.4943222999572754e-06,0.03,0.03
121.99756,21.817406,7.320195436477661e-06,0.05,0.05
122.02759,21.816978,2.0265579223632812e-06,0.29,0.29
119.293884,21.857368,0.0008648037910461426,0.54,0.54
119.323944,21.857529,0.0007864236831665039,0.48,0.48
119.35397,21.857674,0.0008101761341094971,0.37,0.37
119.38403,21.857796,0.000850677490234375,0.38,0.38
119.41406,21.857918,0.000850677490234375,0.36,0.36
119.44412,21.858025,0.0007915496826171875,0.31,0.31
119.47418,21.858147,0.0006982982158660889,0.24,0.25
119.50421,21.858261,0.0005962103605270386,0.19,0.19
119.53427,21.858345,0.000931084156036377,0.68,0.68
119.5643,21.858452,0.001633763313293457,0.5,0.5
119.59436,21.858528,0.0007759332656860352,0.85,0.85
119.62439,21.858612,0.0008590221405029297,0.89,0.89
119.65445,21.858696,0.0008608102798461914,0.98,0.98
119.68451,21.858765,0.001071155071258545,0.69,0.69
119.71454,21.858826,0.000731348991394043,0.57,0.57
119.7446,21.85888,0.0008445978164672852,0.74,0.74
119.77466,21.858925,0.001076042652130127,0.17,0.17
119.80469,21.858963,0.001402541995048523,0.13,0.13
119.83472,21.859001,0.0013462305068969727,0.09,0.09
119.86478,21.859032,0.0010131597518920898,0.8,0.8
119.89484,21.859062,0.0014795660972595215,0.93,0.94
119.924866,21.859077,0.001714468002319336,0.81,0.81
119.954926,21.8591,0.002048492431640625,0.78,0.78
119.984985,21.8591,0.0011074542999267578,0.92,0.92
120.015015,21.8591,0.0019777268171310425,0.19,0.19
120.045074,21.8591,0.0017933249473571777,0.89,0.89
120.0751,21.859077,0.0030155181884765625,1.45,1.46
120.10516,21.859062,0.002480030059814453,0.6,0.6
120.13519,21.859032,0.001573115587234497,0.49,0.49
120.16525,21.859001,0.0020781755447387695,0.56,0.56
120.19531,21.858963,0.005032479763031006,0.61,0.62
120.22534,21.858925,0.0020446181297302246,0.62,0.62
120.2554,21.85888,0.0018541216850280762,0.62,0.62
120.28546,21.858826,0.0023505985736846924,0.16,0.17
120.31549,21.858765,0.0009889602661132812,2.05,2.05
120.34555,21.858696,0.0014271736145019531,0.88,0.88
120.37558,21.858612,0.0009338855743408203,0.54,0.54
120.40564,21.858528,0.0012295842170715332,0.26,0.27
120.43567,21.858452,0.006253719329833984,1.15,1.15
120.46573,21.858345,0.0008311271667480469,2.47,2.47
120.49579,21.858261,0.0018065571784973145,0.51,0.51
120.52582,21.858147,0.0007454156875610352,1.75,1.75
120.55588,21.858025,0.00067138671875,1.27,1.27
120.58591,21.857918,0.0005753040313720703,0.88,0.88
120.61597,21.857796,0.0004354119300842285,0.56,0.56
120.645996,21.857674,0.00028315186500549316,0.34,0.34
120.676056,21.857529,0.0002218484878540039,1.82,1.82
120.706116,21.857368,0.0002472400665283203,2.09,2.09
120.736145,21.857231,0.0002543926239013672,2.34,2.34
120.766205,21.857079,0.0002307891845703125,2.02,2.02
120.796234,21.85691,0.0002200603485107422,1.95,1.95
120.826294,21.856735,0.00022304058074951172,1.88,1.88
120.85632,21.856583,0.00023031234741210938,1.86,1.86
120.88638,21.856384,0.00024116039276123047,1.73,1.73
120.91644,21.856194,0.00023627281188964844,1.42,1.42
120.94647,21.856003,0.00024133920669555664,0.79,0.79
120.97653,21.855804,0.00015038251876831055,0.42,0.42
121.00656,21.85559,0.00011783838272094727,0.63,0.63
121.03662,21.855392,0.00011432170867919922,0.43,0.43
121.06665,21.855171,9.289383888244629e-05,0.23,0.23
121.09671,21.854942,6.74128532409668e-05,0.14,0.14
121.12674,21.85469,4.493445158004761e-05,0.12,0.12
121.1568,21.854477,2.0176172256469727e-05,0.46,0.46
121.18683,21.854233,2.0563602447509766e-05,0.47,0.47
121.21689,21.853966,2.9727816581726074e-05,0.14,0.14
121.24695,21.853722,2.7954578399658203e-05,0.08,0.08
121.27698,21.853455,2.1755695343017578e-05,0.53,0.53
121.30701,21.853188,1.8715858459472656e-05,0.59,0.59
121.33707,21.852905,1.9066035747528076e-05,0.06,0.06
121.36713,21.852638,1.804158091545105e-05,0.05,0.05
121.397156,21.852356,2.0276755094528198e-05,0.05,0.05
121.427185,21.852043,1.887977123260498e-05,0.04,0.04
121.457245,21.851753,1.5776604413986206e-05,0.03,0.03
121.487274,21.851433,8.881092071533203e-06,0.31,0.31
121.517334,21.851135,9.08970832824707e-06,0.3,0.3
121.54736,21.850815,5.0067901611328125e-06,0.28,0.28
121.57742,21.850471,4.291534423828125e-06,0.04,0.04
121.60745,21.850159,1.3977289199829102e-05,0.15,0.15
121.63751,21.849815,5.2034854888916016e-05,0.15,0.15
121.66754,21.84948,6.988644599914551e-05,0.12,0.12
121.69757,21.849129,1.5672296285629272e-05,0.02,0.02
121.72763,21.848763,2.8032809495925903e-06,0.01,0.01
121.75769,21.848404,1.4126300811767578e-05,0.14,0.14
121.78772,21.848038,1.3366341590881348e-05,0.15,0.15
121.81775,21.847672,1.284480094909668e-05,0.02,0.02
121.84781,21.847282,4.027038812637329e-06,0.03,0.03
121.87784,21.8469,4.112720489501953e-06,0.35,0.35
121.9079,21.846497,3.1888484954833984e-06,0.32,0.32
121.93793,21.8461,2.9206275939941406e-06,0.3,0.3
121.96796,21.845695,2.5443732738494873e-06,0.04,0.04
121.997986,21.845291,3.0174851417541504e-06,0.06,0.06
122.028046,21.844856,1.6093254089355469e-06,0.27,0.27
119.29373,21.885262,0.0010213255882263184,0.61,0.61
119.32379,21.885406,0.0010848045349121094,0.58,0.58
119.35382,21.885551,0.0011096596717834473,0.56,0.56
119.38388,21.885689,0.0011214613914489746,0.57,0.57
119.41394,21.885796,0.0011731982231140137,0.57,0.57
119.444,21.885933,0.0012014508247375488,0.57,0.57
119.47406,21.88604,0.0011669397354125977,0.53,0.54
119.50409,21.886154,0.0010715723037719727,0.47,0.47
119.53415,21.886238,0.0008893609046936035,0.39,0.39
119.56421,21.88633,0.0007842779159545898,0.22,0.22
119.59427,21.886436,0.0020340681076049805,0.76,0.76
119.62433,21.886513,0.0009917020797729492,0.56,0.56
119.65436,21.886574,0.0009489059448242188,0.82,0.82
119.68442,21.88665,0.0010402798652648926,0.65,0.65
119.71448,21.886703,0.0008512139320373535,0.76,0.76
119.74454,21.886772,0.0008363723754882812,1.55,1.55
119.7746,21.886826,0.0010134577751159668,0.83,0.83
119.80463,21.886856,0.0012552142143249512,0.16,0.16
119.83469,21.886902,0.0014256983995437622,0.13,0.13
119.864746,21.88691,0.0011416375637054443,0.39,0.39
119.894806,21.886948,0.001275181770324707,0.78,0.78
119.924866,21.88697,0.0019738078117370605,0.99,1.0
119.954895,21.886993,0.0015528202056884766,0.82,0.82
119.984985,21.886993,0.0012407302856445312,2.39,2.39
120.015015,21.886993,0.0021675080060958862,0.21,0.21
120.045074,21.886993,0.0023508667945861816,0.63,0.63
120.075134,21.88697,0.0025496482849121094,1.07,1.07
120.105194,21.886948,0.0043939948081970215,0.83,0.84
120.135254,21.88691,0.0019224882125854492,0.9,0.9
120.16528,21.886902,0.0017598867416381836,0.59,0.59
120.19534,21.886856,0.0017774701118469238,0.88,0.88
120.2254,21.886826,0.002260655164718628,0.48,0.48
120.25546,21.886772,0.001410067081451416,0.65,0.65
120.28552,21.886703,0.00171738862991333,0.6,0.6
120.31555,21.88665,0.0019630789756774902,0.51,0.51
120.34561,21.886574,0.0014697909355163574,0.85,0.85
120.37567,21.886513,0.0009784698486328125,3.15,3.15
120.40573,21.886436,0.0009074211120605469,2.37,2.37
120.43579,21.88633,0.005675673484802246,1.31,1.31
120.46582,21.886238,0.0008656978607177734,2.66,2.66
120.49588,21.886154,0.002867579460144043,0.8,0.81
120.52594,21.88604,0.0008150339126586914,1.95,1.95
120.556,21.885933,0.0007425546646118164,1.35,1.35
120.58606,21.885796,0.0006322264671325684,0.93,0.93
120.61609,21.885689,0.00047457218170166016,0.59,0.59
120.64615,21.885551,0.00032261013984680176,0.37,0.37
120.67621,21.885406,0.000255584716796875,2.42,2.42
120.70627,21.885262,0.00023543834686279297,1.81,1.81
120.73633,21.885109,0.0002732276916503906,2.29,2.29
120.76636,21.884964,0.0002732276916503906,2.22,2.22
120.79642,21.884811,0.00025773048400878906,2.14,2.14
120.82648,21.88462,0.0002613067626953125,2.13,2.13
120.85654,21.884468,0.00023925304412841797,1.97,1.97
120.8866,21.88427,0.00024008750915527344,1.93,1.93
120.916626,21.884087,0.00025069713592529297,1.72,1.72
120.946686,21.883888,0.00026416778564453125,1.07,1.07
120.976746,21.883705,0.00016003847122192383,0.52,0.52
121.006775,21.883476,0.00012087821960449219,0.64,0.64
121.036835,21.883278,0.00011831521987915039,0.54,0.54
121.066895,21.883057,8.478760719299316e-05,0.29,0.29
121.096954,21.88282,8.893013000488281e-05,0.15,0.15
121.127014,21.882599,9.50247049331665e-05,0.13,0.14
121.15704,21.882355,2.008676528930664e-05,0.44,0.44
