經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
121.57706,21.822594,4.4703484e-08,0.23,0.23
121.60712,21.82228,1.4901161e-08,0.23,0.23
121.637146,21.821938,0.0,0.24,0.24
121.667175,21.821594,4.4703484e-08,0.24,0.24
121.697205,21.82125,-2.9802322e-08,0.24,0.24
121.727234,21.820892,1.4901161e-08,0.25,0.25
121.75726,21.820526,0.0,0.25,0.25
121.78732,21.820137,2.9802322e-08,0.26,0.26
121.81735,21.819778,2.9802322e-08,0.26,0.26
121.84738,21.819397,0.0,0.27,0.27
121.87741,21.819,0.0,0.27,0.27
121.90747,21.818604,-2.9802322e-08,0.28,0.28
121.9375,21.81823,0.0,0.29,0.29
121.96753,21.81781,0.0,0.3,0.3
121.99756,21.817406,2.9802322e-08,0.31,0.31
122.02759,21.816978,0.0,0.36,0.36
119.293884,21.857368,3.606081e-05,0.28,0.28
119.323944,21.857529,3.8981438e-05,0.29,0.29
119.35397,21.857674,4.249811e-05,0.3,0.3
119.38403,21.857796,4.646182e-05,0.31,0.31
119.41406,21.857918,5.286932e-05,0.33,0.33
119.44412,21.858025,5.9753656e-05,0.36,0.36
119.47418,21.858147,6.7681074e-05,0.38,0.38
119.50421,21.858261,7.6532364e-05,0.41,0.41
119.53427,21.858345,8.5383654e-05,0.44,0.44
119.5643,21.858452,9.715557e-05,0.47,0.47
119.59436,21.858528,0.000111699104,0.51,0.51
119.62439,21.858612,0.00012761354,0.54,0.54
119.65445,21.858696,0.00014537573,0.57,0.57
119.68451,21.858765,0.00016826391,0.6,0.6
119.71454,21.858826,0.00019687414,0.63,0.63
119.7446,21.85888,0.00022059679,0.66,0.66
119.77466,21.858925,0.00025194883,0.7,0.7
119.80469,21.858963,0.0002938509,0.74,0.74
119.83472,21.859001,0.00034463406,0.78,0.78
119.86478,21.859032,0.0003991723,0.81,0.82
119.89484,21.859062,0.00045454502,0.85,0.85
119.924866,21.859077,0.00051635504,0.89,0.89
119.954926,21.8591,0.0005800128,0.93,0.93
119.984985,21.8591,0.0006390214,0.99,0.99
120.015015,21.8591,0.00069606304,1.05,1.05
120.045074,21.8591,0.0007573366,1.12,1.12
120.0751,21.859077,0.0007991791,1.2,1.2
120.10516,21.859062,0.00083243847,1.27,1.28
120.13519,21.859032,0.00084888935,1.33,1.33
120.16525,21.859001,0.00084745884,1.37,1.37
120.19531,21.858963,0.00082707405,1.38,1.38
120.22534,21.858925,0.0007703304,1.35,1.35
120.2554,21.85888,0.0007081032,1.31,1.31
120.28546,21.858826,0.0006353855,1.25,1.25
120.31549,21.858765,0.0005978346,1.17,1.17
120.34555,21.858696,0.00054347515,1.05,1.05
120.37558,21.858612,0.00046479702,0.91,0.92
120.40564,21.858528,0.00034850836,0.76,0.76
120.43567,21.858452,0.00022935867,0.63,0.63
120.46573,21.858345,0.00015413761,0.53,0.53
120.49579,21.858261,0.00010916591,0.46,0.46
120.52582,21.858147,7.69794e-05,0.4,0.4
120.55588,21.858025,4.556775e-05,0.36,0.36
120.58591,21.857918,2.399087e-05,0.32,0.32
120.61597,21.857796,1.0251999e-05,0.29,0.29
120.645996,21.857674,5.3048134e-06,0.27,0.27
120.676056,21.857529,2.8312206e-06,0.25,0.25
120.706116,21.857368,9.3877316e-07,0.24,0.24
120.736145,21.857231,5.9604645e-07,0.23,0.23
120.766205,21.857079,4.7683716e-07,0.22,0.22
120.796234,21.85691,4.917383e-07,0.22,0.22
120.826294,21.856735,4.0233135e-07,0.21,0.21
120.85632,21.856583,4.172325e-07,0.21,0.21
120.88638,21.856384,4.172325e-07,0.21,0.21
120.91644,21.856194,4.0233135e-07,0.21,0.21
120.94647,21.856003,4.3213367e-07,0.21,0.21
120.97653,21.855804,4.3213367e-07,0.21,0.21
121.00656,21.85559,3.7252903e-07,0.21,0.21
121.03662,21.855392,2.8312206e-07,0.21,0.21
121.06665,21.855171,3.874302e-07,0.21,0.21
121.09671,21.854942,3.5762787e-07,0.21,0.21
121.12674,21.85469,2.3841858e-07,0.21,0.21
121.1568,21.854477,2.5331974e-07,0.21,0.21
121.18683,21.854233,1.6391277e-07,0.21,0.21
121.21689,21.853966,2.682209e-07,0.21,0.21
121.24695,21.853722,2.682209e-07,0.21,0.21
121.27698,21.853455,1.6391277e-07,0.22,0.22
121.30701,21.853188,1.6391277e-07,0.22,0.22
121.33707,21.852905,1.4901161e-07,0.22,0.22
121.36713,21.852638,7.4505806e-08,0.22,0.22
121.397156,21.852356,1.6391277e-07,0.23,0.23
121.427185,21.852043,1.0430813e-07,0.24,0.24
121.457245,21.851753,4.4703484e-08,0.24,0.24
121.487274,21.851433,5.9604645e-08,0.23,0.23
121.517334,21.851135,0.0,0.23,0.23
121.54736,21.850815,8.940697e-08,0.23,0.23
121.57742,21.850471,1.4901161e-08,0.23,0.23
121.60745,21.850159,2.9802322e-08,0.23,0.23
121.63751,21.849815,4.4703484e-08,0.23,0.23
121.66754,21.84948,4.4703484e-08,0.24,0.24
121.69757,21.849129,2.9802322e-08,0.24,0.24
121.72763,21.848763,7.4505806e-08,0.24,0.24
121.75769,21.848404,1.4901161e-08,0.25,0.25
121.78772,21.848038,5.9604645e-08,0.25,0.25
121.81775,21.847672,2.9802322e-08,0.26,0.26
121.84781,21.847282,2.9802322e-08,0.27,0.27
121.87784,21.8469,0.0,0.27,0.27
121.9079,21.846497,2.9802322e-08,0.28,0.28
121.93793,21.8461,-2.9802322e-08,0.29,0.29
121.96796,21.845695,0.0,0.3,0.3
121.997986,21.845291,0.0,0.32,0.32
122.028046,21.844856,0.0,0.36,0.36
119.29373,21.885262,3.5315752e-05,0.27,0.27
119.32379,21.885406,3.8295984e-05,0.28,0.28
119.35382,21.885551,4.2140484e-05,0.29,0.29
119.38388,21.885689,4.556775e-05,0.31,0.31
119.41394,21.885796,5.1110983e-05,0.33,0.33
119.444,21.885933,5.8680773e-05,0.35,0.35
119.47406,21.88604,6.738305e-05,0.37,0.37
119.50409,21.886154,7.662177e-05,0.4,0.4
119.53415,21.886238,8.6039305e-05,0.44,0.44
119.56421,21.88633,9.7543e-05,0.47,0.47
119.59427,21.886436,0.00011134148,0.5,0.5
119.62433,21.886513,0.00012785196,0.54,0.54
119.65436,21.886574,0.00014424324,0.57,0.57
119.68442,21.88665,0.00016486645,0.61,0.61
119.71448,21.886703,0.00019270182,0.64,0.64
119.74454,21.886772,0.00022315979,0.67,0.67
119.7746,21.886826,0.00025433302,0.71,0.71
119.80463,21.886856,0.00029337406,0.75,0.75
119.83469,21.886902,0.00034576654,0.79,0.79
119.864746,21.88691,0.00040000677,0.84,0.84
119.894806,21.886948,0.00045526028,0.88,0.88
119.924866,21.88697,0.00051921606,0.92,0.92
119.954895,21.886993,0.0005876422,0.97,0.97
119.984985,21.886993,0.0006519556,1.02,1.02
120.015015,21.886993,0.0007072687,1.08,1.08
120.045074,21.886993,0.0007724762,1.16,1.16
120.075134,21.88697,0.0008355379,1.24,1.24
120.105194,21.886948,0.0008715391,1.32,1.33
120.135254,21.88691,0.00090813637,1.4,1.4
120.16528,21.886902,0.0009226799,1.47,1.47
120.19534,21.886856,0.00091421604,1.52,1.52
120.2254,21.886826,0.00086820126,1.51,1.51
120.25546,21.886772,0.00081026554,1.48,1.48
120.28552,21.886703,0.00072300434,1.42,1.42
120.31555,21.88665,0.0006687641,1.34,1.34
120.34561,21.886574,0.0006104708,1.22,1.22
120.37567,21.886513,0.00053727627,1.05,1.05
120.40573,21.886436,0.00042629242,0.87,0.87
120.43579,21.88633,0.00029993057,0.72,0.72
120.46582,21.886238,0.00020372868,0.61,0.61
120.49588,21.886154,0.00014048815,0.52,0.52
120.52594,21.88604,0.00010192394,0.45,0.45
120.556,21.885933,6.4224005e-05,0.39,0.39
