,基隆,汐止,萬里,新店,土城,板橋,新莊,菜寮,林口,淡水,士林,中山,萬華,古亭,松山,桃園,大園,觀音,平鎮,龍潭,陽明,富貴角,豐原,沙鹿,大里,忠明,西屯,彰化,線西,二林,南投,竹山,埔里,湖口,竹東,新竹,頭份,苗栗,三義,斗六,崙背,新港,朴子,台西,嘉義,新營,善化,安南,台南,麥寮,美濃,橋頭,仁武,大寮,林園,楠梓,左營,前金,前鎮,小港,屏東,潮州,恆春,宜蘭,冬山,台東,花蓮,關山,金門,馬公,馬祖
2019-02-01-13,14.0,17.0,19.0,20.0,21,18.0,15.0,12.0,15.0,18.0,21.0,11.0,15.0,16,18.0,13.0,21.0,28.0,27.0,28.0,1.0,28.0,13.0,18.0,8.0,21.0,18.0,21.0,23.0,20.0,20.0,21.0,13.0,24.0,25.0,24.0,25.0,23.0,19.0,14.0,29.0,20.0,25.0,31.0,17.0,33.0,27.0,22,21.0,23.0,17.0,29,21.0,37.0,22.0,38.0,18.0,28.0,35.0,28.0,42,64.0,7.0,11.0,1.0,6.0,4.0,5.0,21.0,16.0,15.0
2019-02-01-14,17.0,16.0,20.0,18.0,-999,21.0,15.0,10.0,18.0,20.0,14.0,15.0,12.0,20,14.0,14.0,25.0,32.0,29.0,24.0,1.0,28.0,26.0,16.0,12.0,16.0,18.0,15.0,23.0,26.0,22.0,26.0,14.0,19.0,22.0,27.0,24.0,25.0,16.0,24.0,35.0,28.0,35.0,31.0,19.0,30.0,29.0,26,27.0,23.0,17.0,41,17.0,39.0,36.0,26.0,16.0,24.0,31.0,29.0,51,50.0,5.0,14.0,3.0,3.0,4.0,6.0,21.0,17.0,19.0
2019-02-01-15,17.0,20.0,19.0,18.0,33,23.0,15.0,12.0,18.0,22.0,6.0,15.0,17.0,19,8.0,17.0,21.0,30.0,34.0,21.0,3.0,30.0,26.0,20.0,14.0,21.0,23.0,18.0,25.0,26.0,24.0,19.0,16.0,19.0,19.0,26.0,23.0,27.0,19.0,29.0,33.0,27.0,30.0,33.0,34.0,38.0,33.0,40,30.0,26.0,20.0,37,37.0,36.0,36.0,40.0,21.0,31.0,28.0,31.0,41,45.0,6.0,14.0,6.0,3.0,5.0,3.0,21.0,18.0,20.0
2019-02-01-16,18.0,21.0,18.0,19.0,24,25.0,22.0,19.0,19.0,20.0,13.0,17.0,17.0,23,16.0,18.0,25.0,29.0,27.0,20.0,3.0,24.0,19.0,25.0,18.0,18.0,22.0,13.0,24.0,28.0,23.0,21.0,14.0,22.0,13.0,23.0,20.0,23.0,24.0,41.0,37.0,32.0,32.0,30.0,35.0,31.0,36.0,36,36.0,27.0,34.0,38,40.0,39.0,30.0,48.0,25.0,34.0,34.0,34.0,36,41.0,7.0,13.0,12.0,8.0,5.0,3.0,19.0,18.0,18.0
2019-02-01-17,23.0,16.0,18.0,16.0,19,25.0,21.0,19.0,19.0,16.0,19.0,20.0,23.0,18,22.0,18.0,25.0,30.0,26.0,16.0,7.0,28.0,14.0,21.0,16.0,23.0,24.0,21.0,22.0,29.0,23.0,28.0,14.0,19.0,15.0,20.0,15.0,20.0,23.0,41.0,44.0,34.0,31.0,28.0,39.0,37.0,41.0,35,40.0,27.0,25.0,42,38.0,44.0,28.0,58.0,26.0,36.0,37.0,34.0,36,43.0,7.0,14.0,18.0,9.0,6.0,9.0,19.0,17.0,21.0
2019-02-01-18,22.0,15.0,18.0,16.0,24,21.0,18.0,15.0,18.0,16.0,25.0,23.0,22.0,18,21.0,17.0,26.0,24.0,14.0,13.0,11.0,28.0,10.0,16.0,18.0,19.0,20.0,20.0,18.0,28.0,28.0,29.0,19.0,18.0,18.0,19.0,13.0,18.0,21.0,38.0,37.0,39.0,33.0,23.0,40.0,39.0,42.0,31,39.0,22.0,29.0,48,36.0,39.0,28.0,63.0,27.0,34.0,30.0,36.0,44,44.0,7.0,14.0,18.0,9.0,8.0,16.0,18.0,20.0,23.0
2019-02-01-19,20.0,17.0,19.0,16.0,22,20.0,15.0,17.0,18.0,21.0,31.0,19.0,22.0,20,13.0,16.0,23.0,26.0,26.0,14.0,12.0,24.0,26.0,16.0,14.0,23.0,18.0,24.0,16.0,27.0,31.0,34.0,24.0,20.0,15.0,22.0,16.0,20.0,21.0,36.0,37.0,41.0,31.0,17.0,46.0,43.0,42.0,40,44.0,17.0,32.0,45,38.0,38.0,29.0,63.0,29.0,35.0,31.0,41.0,51,42.0,6.0,15.0,14.0,10.0,8.0,13.0,20.0,23.0,28.0
2019-02-01-20,20.0,14.0,19.0,18.0,20,20.0,13.0,19.0,16.0,23.0,24.0,16.0,20.0,21,17.0,16.0,20.0,21.0,17.0,16.0,13.0,25.0,30.0,16.0,23.0,21.0,18.0,20.0,15.0,23.0,30.0,39.0,25.0,19.0,16.0,24.0,17.0,23.0,18.0,34.0,30.0,33.0,26.0,16.0,49.0,34.0,48.0,41,38.0,16.0,29.0,49,55.0,41.0,33.0,60.0,43.0,44.0,46.0,41.0,48,46.0,7.0,14.0,13.0,9.0,7.0,12.0,23.0,26.0,28.0
2019-02-01-21,19.0,11.0,15.0,22.0,17,19.0,12.0,17.0,14.0,21.0,19.0,16.0,21.0,21,25.0,15.0,17.0,16.0,18.0,22.0,13.0,22.0,41.0,18.0,19.0,18.0,11.0,20.0,21.0,22.0,27.0,38.0,21.0,19.0,21.0,22.0,18.0,23.0,18.0,29.0,34.0,26.0,21.0,21.0,39.0,30.0,45.0,37,37.0,23.0,25.0,45,56.0,44.0,42.0,62.0,48.0,54.0,58.0,58.0,45,50.0,7.0,14.0,13.0,6.0,9.0,13.0,23.0,26.0,22.0
2019-02-01-22,18.0,12.0,12.0,21.0,13,17.0,11.0,16.0,14.0,18.0,1.0,16.0,17.0,16,26.0,18.0,16.0,25.0,6.0,19.0,10.0,23.0,29.0,19.0,17.0,18.0,19.0,29.0,24.0,23.0,24.0,28.0,18.0,18.0,22.0,21.0,21.0,25.0,16.0,27.0,31.0,22.0,25.0,24.0,36.0,34.0,47.0,32,28.0,24.0,34.0,48,58.0,53.0,48.0,64.0,48.0,55.0,58.0,57.0,50,44.0,10.0,13.0,13.0,5.0,12.0,10.0,24.0,24.0,21.0
2019-02-01-23,16.0,12.0,11.0,16.0,14,17.0,14.0,15.0,11.0,12.0,5.0,13.0,13.0,16,25.0,12.0,15.0,24.0,13.0,14.0,12.0,24.0,23.0,21.0,14.0,21.0,15.0,27.0,23.0,21.0,23.0,21.0,21.0,15.0,19.0,20.0,22.0,27.0,17.0,28.0,37.0,25.0,27.0,23.0,37.0,29.0,36.0,28,32.0,21.0,31.0,49,44.0,55.0,58.0,55.0,42.0,61.0,56.0,58.0,48,39.0,7.0,12.0,9.0,6.0,10.0,11.0,28.0,26.0,21.0
2019-02-02-00,17.0,13.0,13,14.0,18.0,17.0,15.0,14.0,11.0,8.0,11.0,9.0,7.0,10.0,16.0,13.0,18.0,19.0,18.0,13.0,12.0,22.0,16.0,21.0,16.0,18.0,25.0,27.0,25.0,19.0,23.0,28.0,23.0,19.0,15.0,24.0,22,23.0,23.0,34.0,33.0,25.0,28.0,20.0,37.0,27,39.0,30.0,32.0,23.0,37.0,49.0,54.0,55.0,56.0,55,41.0,51.0,52.0,49.0,63.0,34.0,8.0,9.0,6.0,7.0,9.0,11.0,28.0,25.0,22.0
2019-02-02-01,17.0,10.0,15,15.0,17.0,12.0,16.0,11.0,13.0,10.0,17.0,9.0,11.0,16.0,17.0,9.0,15.0,16.0,18.0,13.0,10.0,26.0,17.0,16.0,17.0,24.0,23.0,23.0,24.0,19.0,22.0,28.0,20.0,19.0,18.0,27.0,21,24.0,19.0,32.0,33.0,24.0,23.0,21.0,35.0,26,26.0,34.0,35.0,25.0,35.0,49.0,53.0,56.0,65.0,57,48.0,52.0,56.0,48.0,59.0,42.0,7.0,9.0,7.0,5.0,11.0,10.0,29.0,26.0,26.0
2019-02-02-02,11.0,6.0,15,9.0,11.0,10.0,13.0,8.0,11.0,7.0,13.0,14.0,8.0,15.0,10.0,12.0,17.0,24.0,13.0,14.0,7.0,16.0,16.0,16.0,21.0,16.0,23.0,23.0,22.0,21.0,22.0,25.0,19.0,20.0,22.0,24.0,19,30.0,19.0,32.0,34.0,26.0,25.0,22.0,28.0,27,22.0,37.0,36.0,26.0,35.0,46.0,62.0,55.0,55.0,59,48.0,52.0,60.0,52.0,63.0,45.0,6.0,9.0,6.0,2.0,9.0,10.0,30.0,28.0,27.0
2019-02-02-03,10.0,7.0,13,9.0,11.0,10.0,9.0,7.0,7.0,3.0,8.0,13.0,13.0,10.0,10.0,10.0,13.0,28.0,13.0,10.0,5.0,26.0,24.0,13.0,21.0,21.0,21.0,20.0,23.0,24.0,23.0,24.0,21.0,20.0,18.0,24.0,17,29.0,27.0,40.0,29.0,32.0,25.0,26.0,36.0,34,26.0,31.0,37.0,25.0,37.0,43.0,55.0,58.0,58.0,56,47.0,56.0,49.0,48.0,55.0,43.0,11.0,10.0,2.0,2.0,7.0,9.0,25.0,27.0,28.0
2019-02-02-04,10.0,12.0,10,12.0,16.0,13.0,10.0,7.0,7.0,4.0,11.0,10.0,6.0,12.0,6.0,13.0,15.0,24.0,11.0,9.0,5.0,18.0,19.0,12.0,18.0,11.0,20.0,17.0,23.0,19.0,23.0,25.0,21.0,15.0,12.0,24.0,15,23.0,26.0,31.0,29.0,28.0,28.0,33.0,35.0,26,29.0,21.0,28.0,23.0,36.0,42.0,43.0,60.0,58.0,47,42.0,57.0,41.0,49.0,54.0,47.0,7.0,11.0,4.0,6.0,4.0,10.0,26.0,27.0,33.0
2019-02-02-05,12.0,14.0,7,10.0,17.0,16.0,12.0,10.0,6.0,7.0,10.0,7.0,9.0,10.0,6.0,15.0,12.0,27.0,19.0,12.0,5.0,17.0,29.0,16.0,20.0,18.0,18.0,14.0,24.0,17.0,24.0,24.0,19.0,14.0,10.0,23.0,13,20.0,16.0,34.0,31.0,34.0,20.0,33.0,39.0,35,34.0,16.0,33.0,21.0,33.0,37.0,37.0,54.0,62.0,55,38.0,53.0,50.0,48.0,46.0,44.0,7.0,9.0,6.0,8.0,5.0,10.0,34.0,29.0,33.0
2019-02-02-06,14.0,11.0,7,11.0,15.0,17.0,16.0,10.0,4.0,8.0,3.0,12.0,10.0,11.0,3.0,20.0,19.0,35.0,26.0,15.0,4.0,17.0,15.0,19.0,24.0,15.0,19.0,16.0,23.0,14.0,22.0,21.0,18.0,19.0,17.0,23.0,14,21.0,14.0,27.0,36.0,31.0,22.0,29.0,32.0,30,35.0,23.0,39.0,23.0,34.0,40.0,31.0,53.0,58.0,42,31.0,50.0,45.0,55.0,46.0,44.0,8.0,10.0,3.0,6.0,5.0,8.0,38.0,30.0,28.0
2019-02-02-07,14.0,11.0,8,11.0,16.0,17.0,16.0,10.0,9.0,11.0,4.0,10.0,11.0,17.0,11.0,14.0,22.0,32.0,29.0,12.0,3.0,18.0,19.0,22.0,24.0,22.0,17.0,11.0,23.0,23.0,25.0,26.0,17.0,18.0,26.0,24.0,-999,20.0,16.0,42.0,38.0,38.0,23.0,29.0,32.0,33,39.0,27.0,44.0,24.0,33.0,43.0,47.0,58.0,64.0,44,33.0,49.0,49.0,57.0,45.0,44.0,11.0,11.0,3.0,4.0,2.0,7.0,33.0,28.0,26.0
2019-02-02-08,14.0,11.0,7,11.0,13.0,15.0,19.0,14.0,13.0,12.0,7.0,8.0,13.0,14.0,15.0,21.0,28.0,35.0,32.0,14.0,3.0,14.0,14.0,26.0,17.0,27.0,27.0,16.0,28.0,31.0,28.0,32.0,18.0,14.0,29.0,24.0,17,19.0,14.0,46.0,34.0,33.0,26.0,29.0,40.0,42,46.0,32.0,41.0,28.0,35.0,49.0,52.0,60.0,66.0,46,33.0,46.0,45.0,59.0,62.0,52.0,7.0,9.0,10.0,5.0,5.0,8.0,27.0,27.0,28.0
2019-02-02-09,7.0,17.0,7,15.0,14.0,15.0,22.0,19.0,12.0,16.0,23.0,12.0,10.0,15.0,18.0,13.0,25.0,33.0,22.0,12.0,3.0,22.0,23.0,20.0,14.0,37.0,28.0,22.0,33.0,34.0,33.0,31.0,25.0,19.0,26.0,26.0,22,20.0,24.0,53.0,44.0,32.0,22.0,28.0,46.0,46,46.0,36.0,41.0,31.0,42.0,58.0,65.0,60.0,75.0,68,43.0,57.0,54.0,58.0,61.0,59.0,8.0,5.0,14.0,10.0,8.0,10.0,32.0,23.0,29.0
2019-02-02-10,1.0,15.0,9,22.0,21.0,19.0,19.0,19.0,9.0,20.0,26.0,17.0,17.0,13.0,17.0,20.0,29.0,23.0,19.0,16.0,3.0,40.0,36.0,19.0,24.0,37.0,41.0,32.0,28.0,34.0,46.0,34.0,23.0,25.0,27.0,28.0,24,23.0,31.0,53.0,45.0,29.0,28.0,27.0,53.0,56,59.0,43.0,53.0,30.0,35.0,59.0,65.0,50.0,72.0,-999,42.0,60.0,45.0,56.0,71.0,60.0,10.0,6.0,10.0,11.0,9.0,5.0,33.0,23.0,33.0
2019-02-02-11,6.0,8.0,9,25.0,24.0,17.0,12.0,14.0,9.0,23.0,26.0,21.0,17.0,10.0,17.0,18.0,26.0,28.0,26.0,15.0,5.0,37.0,39.0,27.0,33.0,38.0,38.0,35.0,24.0,34.0,47.0,38.0,17.0,29.0,33.0,30.0,23,28.0,28.0,54.0,51.0,32.0,36.0,28.0,58.0,39,67.0,49.0,64.0,30.0,31.0,63.0,67.0,44.0,67.0,-999,52.0,67.0,56.0,56.0,60.0,64.0,10.0,10.0,6.0,9.0,4.0,3.0,30.0,25.0,33.0
2019-02-02-12,8.0,8.0,10,14.0,23.0,11.0,9.0,14.0,15.0,25.0,20.0,17.0,19.0,12.0,21.0,29.0,30.0,39.0,32.0,14.0,12.0,26.0,30.0,30.0,35.0,34.0,39.0,37.0,28.0,41.0,47.0,39.0,17.0,31.0,39.0,31.0,27,35.0,27.0,60.0,43.0,39.0,49.0,35.0,53.0,43,64.0,42.0,60.0,29.0,31.0,60.0,62.0,42.0,55.0,-999,53.0,66.0,56.0,57.0,25.0,61.0,8.0,10.0,6.0,5.0,2.0,4.0,33.0,26.0,32.0
2019-02-02-13,6.0,7.0,-999,6.0,18.0,15.0,11.0,15.0,27.0,18.0,24.0,20.0,15.0,7.0,15.0,37.0,27.0,39.0,35.0,22.0,11.0,25.0,32.0,31.0,28.0,37.0,38.0,35.0,35.0,43.0,47.0,43.0,17.0,31.0,37.0,35.0,32,37.0,27.0,52.0,45.0,40.0,47.0,37.0,51.0,39,41.0,39.0,51.0,33.0,39.0,54.0,60.0,31.0,49.0,-999,55.0,76.0,57.0,56.0,26.0,53.0,8.0,7.0,6.0,8.0,3.0,4.0,35.0,28.0,31.0
2019-02-02-14,4.0,7.0,15,7.0,13.0,17.0,17.0,20.0,29.0,19.0,27.0,15.0,16.0,6.0,13.0,37.0,33.0,38.0,41.0,26.0,7.0,23.0,32.0,33.0,30.0,31.0,36.0,39.0,38.0,39.0,45.0,42.0,18.0,35.0,34.0,38.0,33,40.0,31.0,54.0,47.0,40.0,49.0,37.0,40.0,38,30.0,33.0,36.0,38.0,25.0,49.0,54.0,29.0,45.0,-999,46.0,76.0,46.0,46.0,43.0,39.0,9.0,5.0,4.0,11.0,1.0,7.0,36.0,27.0,31.0
2019-02-02-15,8.0,6.0,17,4.0,16.0,23.0,27.0,28.0,29.0,29.0,28.0,20.0,23.0,8.0,10.0,42.0,31.0,42.0,46.0,37.0,6.0,31.0,45.0,35.0,32.0,39.0,37.0,42.0,43.0,39.0,47.0,41.0,28.0,40.0,38.0,37.0,31,41.0,43.0,53.0,49.0,43.0,42.0,41.0,43.0,-999,38.0,33.0,32.0,40.0,33.0,43.0,51.0,44.0,34.0,-999,39.0,60.0,35.0,40.0,51.0,33.0,8.0,7.0,6.0,10.0,2.0,10.0,38.0,24.0,28.0
2019-02-02-16,10.0,7.0,19,3.0,27.0,37.0,31.0,29.0,29.0,33.0,18.0,22.0,31.0,8.0,11.0,43.0,35.0,43.0,56.0,39.0,6.0,37.0,48.0,40.0,29.0,41.0,52.0,50.0,42.0,38.0,44.0,45.0,35.0,37.0,40.0,34.0,29,43.0,54.0,60.0,56.0,50.0,47.0,43.0,49.0,43,53.0,34.0,30.0,38.0,31.0,45.0,44.0,49.0,31.0,51,32.0,41.0,29.0,28.0,56.0,38.0,11.0,7.0,8.0,8.0,9.0,10.0,38.0,27.0,28.0
2019-02-02-17,6.0,8.0,19,1.0,40.0,39.0,34.0,28.0,33.0,33.0,24.0,22.0,33.0,10.0,4.0,50.0,36.0,40.0,51.0,54.0,6.0,38.0,52.0,46.0,28.0,46.0,56.0,48.0,41.0,45.0,45.0,41.0,34.0,37.0,43.0,37.0,31,46.0,59.0,58.0,62.0,53.0,46.0,42.0,59.0,53,48.0,39.0,37.0,41.0,29.0,39.0,40.0,37.0,25.0,54,26.0,37.0,29.0,25.0,53.0,40.0,12.0,10.0,5.0,6.0,8.0,9.0,40.0,30.0,29.0
2019-02-02-18,9.0,7.0,24,1.0,48.0,35.0,39.0,34.0,40.0,31.0,34.0,23.0,37.0,12.0,2.0,44.0,39.0,39.0,56.0,65.0,5.0,37.0,59.0,45.0,31.0,51.0,66.0,48.0,48.0,40.0,47.0,45.0,39.0,43.0,47.0,46.0,30,47.0,58.0,61.0,56.0,55.0,46.0,42.0,69.0,52,50.0,41.0,37.0,46.0,28.0,42.0,34.0,34.0,26.0,44,18.0,35.0,23.0,26.0,50.0,42.0,10.0,10.0,12.0,9.0,11.0,8.0,41.0,29.0,28.0
2019-02-02-19,19.0,8.0,31,4.0,56.0,49.0,42.0,40.0,43.0,29.0,53.0,27.0,37.0,32.0,2.0,48.0,37.0,43.0,57.0,71.0,4.0,39.0,69.0,44.0,36.0,50.0,57.0,51.0,47.0,44.0,51.0,55.0,39.0,49.0,55.0,54.0,33,49.0,53.0,68.0,54.0,62.0,48.0,50.0,73.0,61,53.0,46.0,41.0,45.0,35.0,52.0,38.0,37.0,56.0,48,23.0,35.0,31.0,28.0,45.0,46.0,13.0,12.0,15.0,14.0,15.0,20.0,39.0,29.0,30.0
2019-02-02-20,26.0,9.0,37,28.0,60.0,63.0,52.0,41.0,36.0,30.0,46.0,37.0,37.0,63.0,7.0,46.0,44.0,62.0,65.0,68.0,4.0,40.0,69.0,47.0,42.0,55.0,65.0,56.0,42.0,45.0,61.0,60.0,46.0,57.0,62.0,59.0,46,51.0,51.0,67.0,56.0,59.0,54.0,55.0,79.0,61,59.0,51.0,47.0,43.0,32.0,52.0,44.0,44.0,45.0,49,28.0,34.0,36.0,39.0,48.0,53.0,5.0,10.0,6.0,15.0,14.0,30.0,38.0,32.0,29.0
2019-02-02-21,32.0,10.0,30,50.0,65.0,65.0,51.0,39.0,24.0,31.0,40.0,44.0,33.0,61.0,9.0,52.0,45.0,60.0,70.0,72.0,2.0,46.0,60.0,48.0,52.0,57.0,61.0,53.0,45.0,46.0,66.0,65.0,43.0,57.0,63.0,64.0,51,52.0,45.0,64.0,59.0,53.0,56.0,56.0,78.0,73,65.0,65.0,56.0,43.0,40.0,52.0,49.0,53.0,52.0,55,30.0,43.0,38.0,47.0,52.0,60.0,6.0,8.0,9.0,15.0,9.0,20.0,37.0,30.0,25.0
2019-02-02-22,26.0,13.0,20,28.0,71.0,66.0,52.0,41.0,20.0,32.0,26.0,47.0,47.0,66.0,8.0,55.0,56.0,62.0,70.0,72.0,5.0,42.0,43.0,49.0,56.0,59.0,58.0,45.0,52.0,45.0,65.0,68.0,39.0,53.0,60.0,61.0,51,53.0,34.0,72.0,71.0,54.0,54.0,66.0,78.0,69,67.0,64.0,64.0,49.0,29.0,51.0,44.0,52.0,68.0,52,28.0,48.0,43.0,51.0,48.0,58.0,8.0,9.0,6.0,12.0,7.0,13.0,39.0,27.0,24.0
2019-02-02-23,4.0,13.0,17,16.0,73.0,69.0,62.0,42.0,39.0,34.0,39.0,51.0,47.0,71.0,14.0,58.0,58.0,64.0,73.0,63.0,3.0,40.0,33.0,50.0,56.0,58.0,52.0,41.0,67.0,44.0,69.0,64.0,35.0,56.0,58.0,59.0,45,57.0,27.0,74.0,84.0,65.0,50.0,67.0,81.0,78,73.0,69.0,73.0,54.0,25.0,63.0,44.0,54.0,68.0,58,39.0,52.0,54.0,53.0,54.0,53.0,9.0,6.0,2.0,9.0,9.0,12.0,41.0,27.0,28.0
2019-02-03-00,11,11.0,11,30.0,66.0,67.0,59,42,40.0,36.0,39.0,47.0,52.0,76,29.0,63,59.0,62.0,76.0,55.0,4.0,41.0,34.0,54.0,56.0,62.0,56.0,50.0,75.0,49.0,75.0,62.0,32.0,58.0,48.0,63.0,45,52.0,23.0,79.0,94.0,75.0,51.0,66.0,84.0,81,76.0,75.0,72.0,59.0,33.0,47.0,43.0,74,71,56.0,46.0,51.0,44.0,58.0,45.0,51.0,11,8.0,7.0,10.0,11.0,10.0,44.0,31.0,28.0
2019-02-03-01,33,10.0,6,31.0,59.0,66.0,52,42,33.0,40.0,45.0,42.0,41.0,71,41.0,61,56.0,62.0,73.0,39.0,5.0,39.0,36.0,56.0,53.0,63.0,57.0,49.0,73.0,49.0,75.0,57.0,31.0,56.0,35.0,64.0,44,44.0,25.0,70.0,96.0,78.0,60.0,75.0,78.0,87,73.0,80.0,73.0,64.0,36.0,45.0,54.0,78,76,51.0,46.0,57.0,53.0,53.0,50.0,45.0,10,10.0,6.0,9.0,9.0,10.0,50.0,31.0,27.0
2019-02-03-02,28,18.0,4,21.0,55.0,62.0,47,42,39.0,41.0,34.0,43.0,49.0,70,50.0,63,45.0,67.0,68.0,40.0,4.0,40.0,39.0,59.0,49.0,68.0,63.0,55.0,77.0,54.0,68.0,43.0,27.0,54.0,29.0,60.0,42,44.0,33.0,75.0,91.0,81.0,63.0,85.0,78.0,83,64.0,80.0,66.0,72.0,37.0,46.0,49.0,60,77,44.0,33.0,51.0,55.0,50.0,41.0,42.0,12,9.0,5.0,5.0,8.0,10.0,49.0,30.0,28.0
2019-02-03-03,32,26.0,4,12.0,43.0,56.0,45,44,35.0,40.0,34.0,43.0,49.0,40,49.0,57,51.0,75.0,56.0,28.0,6.0,43.0,43.0,64.0,38.0,65.0,63.0,50.0,80.0,49.0,65.0,27.0,26.0,49.0,23.0,46.0,39,35.0,35.0,54.0,98.0,74.0,68.0,130.0,68.0,83,57.0,75.0,75.0,76.0,24.0,45.0,49.0,57,58,48.0,31.0,47.0,42.0,43.0,48.0,34.0,12,10.0,7.0,7.0,8.0,8.0,48.0,33.0,27.0
2019-02-03-04,27,21.0,6,10.0,36.0,53.0,43,43,34.0,36.0,25.0,46.0,52.0,14,39.0,53,54.0,81.0,48.0,30.0,12.0,45.0,39.0,67.0,35.0,70.0,62.0,61.0,75.0,49.0,62.0,21.0,27.0,37.0,22.0,34.0,29,29.0,31.0,44.0,98.0,76.0,68.0,140.0,62.0,76,47.0,70.0,66.0,75.0,25.0,47.0,39.0,56,48,48.0,33.0,40.0,49.0,38.0,43.0,32.0,9,10.0,3.0,9.0,10.0,9.0,52.0,34.0,27.0
2019-02-03-05,30,19.0,8,7.0,39.0,54.0,42,40,32.0,34.0,32.0,49.0,43.0,13,35.0,47,63.0,70.0,28.0,21.0,13.0,60.0,32.0,59.0,41.0,75.0,58.0,56.0,71.0,47.0,51.0,25.0,22.0,33.0,22.0,30.0,23,30.0,31.0,22.0,77.0,75.0,70.0,109.0,40.0,57,39.0,55.0,60.0,77.0,20.0,39.0,37.0,46,40,50.0,33.0,41.0,38.0,41.0,36.0,30.0,12,10.0,2.0,6.0,9.0,8.0,52.0,35.0,29.0
2019-02-03-06,31,19.0,12,4.0,37.0,54.0,47,42,30.0,37.0,22.0,41.0,28.0,7,33.0,41,53.0,22.0,11.0,16.0,17.0,21.0,27.0,49.0,40.0,71.0,59.0,49.0,70.0,52.0,40.0,26.0,19.0,32.0,22.0,24.0,19,30.0,29.0,18.0,64.0,76.0,65.0,103.0,29.0,50,25.0,42.0,45.0,75.0,26.0,44.0,37.0,46,26,36.0,33.0,43.0,40.0,38.0,35.0,30.0,10,10.0,7.0,5.0,4.0,9.0,50.0,32.0,29.0
2019-02-03-07,30,20.0,12,5.0,38.0,52.0,49,36,25.0,36.0,27.0,28.0,10.0,10,38.0,39,38.0,24.0,12.0,13.0,32.0,17.0,15.0,50.0,39.0,71.0,53.0,32.0,59.0,58.0,32.0,24.0,21.0,31.0,24.0,22.0,20,29.0,25.0,14.0,51.0,76.0,57.0,87.0,25.0,49,8.0,35.0,42.0,63.0,32.0,36.0,35.0,44,38,36.0,31.0,46.0,39.0,31.0,31.0,30.0,12,8.0,6.0,7.0,3.0,11.0,51.0,34.0,30.0
2019-02-03-08,33,26.0,12,9.0,49.0,52.0,45,20,18.0,31.0,25.0,8.0,5.0,7,29.0,37,31.0,53.0,5.0,12.0,24.0,23.0,21.0,56.0,29.0,62.0,60.0,23.0,43.0,58.0,30.0,21.0,24.0,36.0,26.0,24.0,-999,29.0,16.0,29.0,41.0,69.0,56.0,64.0,26.0,47,14.0,33.0,36.0,51.0,28.0,24.0,36.0,38,20,44.0,34.0,48.0,32.0,31.0,31.0,35.0,9,10.0,8.0,5.0,9.0,11.0,47.0,36.0,35.0
2019-02-03-09,22,33.0,-999,21.0,56.0,51.0,46,14,19.0,27.0,31.0,5.0,1.0,13,17.0,44,30.0,30.0,12.0,17.0,12.0,31.0,17.0,50.0,24.0,63.0,50.0,28.0,39.0,55.0,17.0,22.0,24.0,36.0,24.0,24.0,22,29.0,9.0,38.0,48.0,62.0,51.0,53.0,30.0,40,19.0,29.0,34.0,45.0,19.0,20.0,28.0,30,23,42.0,28.0,45.0,18.0,20.0,29.0,30.0,9,8.0,14.0,11.0,15.0,10.0,43.0,38.0,34.0
2019-02-03-10,16,33.0,19,26.0,37.0,38.0,41,19,31.0,22.0,24.0,8.0,9.0,24,17.0,39,33.0,33.0,19.0,20.0,13.0,25.0,27.0,39.0,22.0,52.0,47.0,30.0,34.0,44.0,8.0,19.0,22.0,30.0,21.0,23.0,22,27.0,11.0,36.0,43.0,47.0,38.0,42.0,32.0,18,20.0,23.0,21.0,45.0,10.0,12.0,26.0,18,8,38.0,26.0,30.0,10.0,15.0,27.0,27.0,8,7.0,12.0,11.0,10.0,9.0,44.0,39.0,31.0
2019-02-03-11,21,32.0,20,26.0,20.0,26.0,29,27,34.0,23.0,28.0,19.0,19.0,-999,24.0,-999,38.0,54.0,36.0,28.0,23.0,28.0,21.0,31.0,19.0,36.0,27.0,31.0,34.0,36.0,6.0,12.0,14.0,26.0,19.0,27.0,25,28.0,12.0,29.0,30.0,35.0,23.0,38.0,20.0,-999,11.0,26.0,17.0,40.0,7.0,12.0,22.0,11,19,17.0,14.0,17.0,6.0,13.0,25.0,15.0,-999,10.0,4.0,9.0,5.0,13.0,40.0,31.0,28.0
2019-02-03-12,-999,26.0,24,27.0,24.0,29.0,25,-999,27.0,25.0,18.0,22.0,23.0,29,30.0,25,43.0,45.0,35.0,39.0,23.0,36.0,22.0,31.0,21.0,20.0,23.0,24.0,38.0,36.0,8.0,14.0,10.0,26.0,22.0,31.0,26,30.0,15.0,24.0,33.0,26.0,18.0,40.0,19.0,6,2.0,18.0,9.0,29.0,5.0,13.0,19.0,10,10,18.0,12.0,13.0,1.0,15.0,15.0,8.0,60,13.0,4.0,7.0,5.0,12.0,34.0,19.0,24.0
