,基隆,汐止,萬里,新店,土城,板橋,新莊,菜寮,林口,淡水,士林,中山,萬華,古亭,松山,桃園,大園,觀音,平鎮,龍潭,陽明,富貴角,豐原,沙鹿,大里,忠明,西屯,彰化,線西,二林,南投,竹山,埔里,湖口,竹東,新竹,頭份,苗栗,三義,斗六,崙背,新港,朴子,台西,嘉義,新營,善化,安南,台南,麥寮,美濃,橋頭,仁武,大寮,林園,楠梓,左營,前金,前鎮,小港,屏東,潮州,恆春,宜蘭,冬山,台東,花蓮,關山,金門,馬公,馬祖
2019-06-16-22,6.0,9.0,7.0,13.0,16.0,18.0,12,7.0,11.0,6.0,11.0,11.0,10,-999,17.0,25.0,22.0,24.0,20.0,28.0,6,10.0,21.0,12.0,17.0,11.0,18.0,11.0,15.0,13.0,11.0,18.0,22.0,26,-999,29.0,29.0,19.0,13.0,22.0,14.0,18.0,27.0,-999,10.0,16.0,17.0,17.0,2.0,12.0,5.0,13.0,4.0,13.0,10.0,15.0,6.0,2.0,3.0,7.0,7.0,6.0,-999,13.0,12.0,11.0,17.0,14.0,14.0,16.0,15.0
2019-06-16-23,6.0,15.0,5.0,12.0,17.0,17.0,9,4.0,13.0,4.0,8.0,8.0,7,-999,8.0,16.0,15.0,29.0,27.0,14.0,6,13.0,23.0,14.0,18.0,12.0,14.0,10.0,15.0,10.0,13.0,18.0,19.0,27,-999,25.0,27.0,24.0,9.0,26.0,16.0,16.0,20.0,-999,3.0,18.0,8.0,20.0,6.0,13.0,7.0,10.0,5.0,16.0,11.0,11.0,2.0,1.0,3.0,1.0,11.0,13.0,-999,10.0,12.0,13.0,16.0,16.0,12.0,15.0,15.0
2019-06-17-00,7.0,13.0,3,10,16,14.0,11.0,3.0,11,7.0,3.0,13,6.0,-999,8.0,10.0,24,22,28.0,19,4.0,11.0,18.0,13,16.0,12,13,8.0,17.0,16,13,13.0,18.0,29.0,-999,22.0,24.0,19.0,8.0,13,14.0,14.0,24.0,-999,5.0,19.0,8.0,20.0,8.0,14,12.0,12.0,4.0,16,11.0,14.0,5.0,4,4,19,4.0,9.0,-999,9.0,12.0,11.0,13.0,14.0,10.0,17.0,14.0
2019-06-17-01,7.0,8.0,2,10,21,13.0,13.0,6.0,9,6.0,4.0,14,14.0,-999,11.0,9.0,17,28,30.0,19,6.0,14.0,17.0,8,14.0,17,11,4.0,17.0,12,15,16.0,24.0,25.0,-999,22.0,22.0,14.0,5.0,12,15.0,18.0,9.0,-999,1.0,22.0,11.0,18.0,6.0,16,9.0,16.0,6.0,16,11.0,9.0,6.0,3,2,5,4.0,13.0,-999,10.0,12.0,10.0,14.0,14.0,15.0,17.0,10.0
2019-06-17-02,8.0,8.0,4,8,23,14.0,10.0,8.0,8,6.0,1.0,12,13.0,-999,11.0,12.0,21,29,24.0,14,28.0,19.0,17.0,9,18.0,22,11,5.0,17.0,19,15,12.0,25.0,25.0,-999,24.0,21.0,12.0,5.0,12,30.0,17.0,17.0,-999,1.0,21.0,20.0,17.0,13.0,19,6.0,15.0,6.0,17,11.0,9.0,7.0,2,4,6,4.0,3.0,-999,9.0,9.0,11.0,16.0,14.0,17.0,16.0,11.0
2019-06-17-03,8.0,10.0,7,6,18,17.0,9.0,6.0,12,10.0,4.0,12,13.0,-999,18.0,20.0,20,28,26.0,16,15.0,15.0,18.0,11,15.0,23,13,12.0,18.0,16,10,6.0,21.0,28.0,-999,20.0,21.0,15.0,4.0,5,18.0,16.0,6.0,-999,1.0,24.0,22.0,17.0,10.0,20,8.0,13.0,10.0,14,10.0,10.0,5.0,7,3,6,3.0,3.0,-999,11.0,7.0,10.0,15.0,11.0,15.0,16.0,12.0
2019-06-17-04,9.0,12.0,11,7,12,19.0,12.0,3.0,12,9.0,7.0,5,5.0,-999,10.0,15.0,23,26,17.0,20,11.0,14.0,16.0,11,14.0,23,15,6.0,17.0,18,13,9.0,21.0,18.0,-999,15.0,18.0,14.0,2.0,7,16.0,15.0,20.0,-999,5.0,16.0,10.0,14.0,16.0,18,6.0,9.0,7.0,12,9.0,10.0,5.0,7,3,5,2.0,3.0,-999,15.0,11.0,11.0,15.0,11.0,15.0,16.0,12.0
2019-06-17-05,10.0,15.0,10,13,16,20.0,15.0,5.0,8,10.0,11.0,8,9.0,-999,5.0,19.0,22,-999,20.0,19,6.0,17.0,19.0,10,13.0,11,15,11.0,14.0,14,12,10.0,21.0,13.0,-999,15.0,18.0,10.0,4.0,1,17.0,18.0,17.0,-999,7.0,17.0,1.0,16.0,10.0,17,4.0,9.0,12.0,12,11.0,9.0,6.0,13,2,3,3.0,4.0,-999,15.0,13.0,10.0,11.0,11.0,24.0,18.0,15.0
2019-06-17-06,10.0,11.0,11,12,20,19.0,15.0,8.0,10,12.0,9.0,7,7.0,-999,2.0,13.0,20,-999,16.0,10,11.0,16.0,23.0,11,18.0,11,14,10.0,12.0,14,11,9.0,20.0,19.0,-999,17.0,24.0,11.0,5.0,1,24.0,21.0,17.0,-999,13.0,20.0,1.0,7.0,11.0,20,13.0,12.0,11.0,15,11.0,15.0,8.0,3,2,7,9.0,7.0,-999,14.0,17.0,11.0,9.0,14.0,28.0,16.0,15.0
2019-06-17-07,15.0,14.0,15,12,18,17.0,13.0,10.0,12,11.0,19.0,11,11.0,-999,15.0,14.0,24,22,32.0,14,13.0,18.0,20.0,9,19.0,12,17,14.0,11.0,13,14,11.0,21.0,25.0,-999,19.0,25.0,17.0,2.0,11,21.0,24.0,4.0,-999,6.0,11.0,1.0,14.0,8.0,15,8.0,17.0,23.0,15,14.0,11.0,10.0,7,14,10,15.0,8.0,-999,10.0,14.0,11.0,9.0,15.0,34.0,12.0,18.0
2019-06-17-08,20.0,22.0,13,14,20,19.0,15.0,12.0,14,18.0,18.0,13,13.0,-999,19.0,22.0,25,20,32.0,24,14.0,13.0,11.0,3,15.0,18,18,11.0,11.0,14,15,12.0,18.0,21.0,-999,21.0,19.0,21.0,1.0,19,8.0,23.0,1.0,-999,10.0,9.0,1.0,16.0,11.0,7,7.0,13.0,14.0,7,8.0,19.0,14.0,4,12,3,16.0,14.0,-999,11.0,11.0,7.0,14.0,10.0,41.0,9.0,21.0
2019-06-17-09,19.0,23.0,-999,16,23,18.0,18.0,13.0,14,21.0,31.0,14,16.0,-999,20.0,35.0,26,19,36.0,21,13.0,18.0,7.0,8,9.0,8,15,14.0,13.0,15,15,5.0,14.0,19.0,-999,19.0,17.0,24.0,5.0,29,9.0,18.0,8.0,-999,4.0,9.0,5.0,18.0,7.0,8,5.0,16.0,12.0,5,17.0,7.0,18.0,9,7,6,8.0,11.0,-999,16.0,17.0,8.0,15.0,6.0,36.0,6.0,20.0
2019-06-17-10,12.0,24.0,15,19,23,17.0,18.0,19.0,16,19.0,21.0,23,22.0,-999,17.0,41.0,22,20,24.0,19,16.0,23.0,17.0,11,8.0,3,-999,13.0,18.0,14,-999,2.0,12.0,20.0,-999,19.0,18.0,21.0,9.0,20,10.0,10.0,8.0,-999,7.0,9.0,7.0,17.0,7.0,10,6.0,16.0,9.0,6,8.0,16.0,15.0,3,-999,3,4.0,18.0,-999,15.0,26.0,6.0,5.0,6.0,30.0,8.0,21.0
2019-06-17-11,18.0,26.0,10,24,25,24.0,22.0,23.0,20,23.0,31.0,24,24.0,-999,20.0,27.0,-999,16,27.0,29,21.0,17.0,28.0,12,10.0,11,15,20.0,18.0,-999,-999,3.0,11.0,16.0,-999,15.0,17.0,17.0,13.0,16,12.0,7.0,19.0,-999,2.0,11.0,16.0,11.0,5.0,15,4.0,11.0,11.0,8,6.0,9.0,7.0,7,-999,5,1.0,22.0,-999,12.0,24.0,6.0,3.0,7.0,26.0,8.0,23.0
2019-06-17-12,16.0,26.0,7,-999,31,30.0,24.0,22.0,19,20.0,38.0,27,22.0,-999,20.0,21.0,14,20,26.0,-999,20.0,11.0,33.0,12,16.0,18,26,28.0,15.0,19,8,11.0,10.0,19.0,-999,13.0,15.0,17.0,14.0,13,13.0,10.0,20.0,-999,10.0,15.0,22.0,13.0,10.0,22,4.0,12.0,13.0,7,4.0,15.0,7.0,6,1,3,11.0,22.0,-999,10.0,18.0,6.0,3.0,6.0,20.0,12.0,22.0
