,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-06-23,2.11,26.5,25,38,2.54,22.9,21.38,14.25
2019-01-07-00,2.56,31.0,25,37,2.04,23.41,24.43,16.8
2019-01-07-01,2.11,33.0,22,38,2.04,22.9,23.92,19.85
2019-01-07-02,2.11,32.5,19,37,2.04,21.38,22.9,20.87
2019-01-07-03,1.94,32.0,22,39,2.54,17.82,19.85,18.83
2019-01-07-04,2.0,29.0,20,40,3.56,12.72,20.36,16.8
2019-01-07-05,2.06,27.0,15,40,3.56,14.76,21.38,16.8
2019-01-07-06,1.94,18.5,18,40,4.07,20.36,24.43,16.8
2019-01-07-07,2.0,10.0,15,39,5.09,18.83,21.89,17.31
2019-01-07-08,2.33,8.0,13,38,5.09,14.25,17.31,14.25
2019-01-07-09,2.83,20.5,9,37,9.16,19.34,14.25,13.23
2019-01-07-10,4.0,39.0,12,38,16.8,21.89,12.72,15.78
2019-01-07-11,9.33,41.5,15,38,23.41,22.4,15.27,20.36
2019-01-07-12,19.56,43.5,12,38,26.47,23.92,18.32,23.92
2019-01-07-13,19.94,45.5,15,39,30.03,21.89,19.85,24.43
2019-01-07-14,21.67,48.5,15,37,29.01,17.31,21.38,29.01
2019-01-07-15,21.06,48.5,11,36,28.5,13.74,18.32,30.03
2019-01-07-16,19.33,44.0,9,36,27.49,12.22,18.32,30.03
2019-01-07-17,13.33,39.5,9,36,24.94,17.31,16.29,29.01
2019-01-07-18,5.17,41.0,8,34,18.83,20.87,12.22,24.43
2019-01-07-19,3.0,42.5,8,35,16.29,21.89,7.13,22.4
2019-01-07-20,2.89,39.5,8,35,13.74,27.49,6.62,17.31
2019-01-07-21,3.5,41.5,9,35,16.29,27.49,9.16,12.72
2019-01-07-22,3.83,42.5,12,36,18.32,26.47,7.64,10.18
2019-01-07-23,4.83,44.0,15,35,17.82,25.96,5.09,9.67
2019-01-08-00,5.28,45.5,14,34,20.36,25.96,4.58,9.16
2019-01-08-01,14.11,45.5,15,33,23.92,26.98,4.58,6.62
2019-01-08-02,22.72,44.5,17,35,25.45,28.5,4.07,3.56
2019-01-08-03,22.61,44.5,17,34,28.5,29.52,4.07,2.04
2019-01-08-04,19.89,44.0,12,33,27.49,28.5,4.58,1.53
2019-01-08-05,15.39,42.0,12,32,26.47,24.43,4.58,1.53
2019-01-08-06,6.89,39.0,13,31,24.94,21.89,5.6,1.53
2019-01-08-07,4.33,35.5,7,32,21.89,20.87,8.14,1.53
